Id Magasin;Enseigne;Code Produit;Libelle;Prix;Prix Unitaire;Unite Px Unitaire;Prix Num;DateRecup;HeureRecup;Lien Photo;Lien
miramas;Miramas;92015587;PARPAING CREUX 5x20x50cm;0EUR90;-;-;0EUR90;2020/10/21;16:48:10.1603291690;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//8/8/G92015588-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/parpaing-creux-8165.html
miramas;Miramas;92010365;PARPAING CREUX 10x20x50cm;0EUR83;-;-;0EUR83;2020/10/21;16:48:10.1603291690;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//8/8/G92015588-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/parpaing-creux-8165.html
miramas;Miramas;92010367;PARPAING CREUX 15x20x50cm;0EUR86;-;-;0EUR86;2020/10/21;16:48:10.1603291690;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//8/8/G92015588-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/parpaing-creux-8165.html
miramas;Miramas;92010366;PARPAING CREUX 20x20x50cm;0EUR82;-;-;0EUR82;2020/10/21;16:48:10.1603291690;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//8/8/G92015588-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/parpaing-creux-8165.html
miramas;Miramas;92011384;ENDUIT REBOUCHAGE PATE ;7EUR50; 1EUR88/kg;kg;7EUR50;2020/10/21;16:48:14.1603291694;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//4/8/92011384-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/enduit-rebouchage-pate-7325.html
miramas;Miramas;92012423;MORTIER PRISE RAPIDE ;13EUR50; 0EUR54/kg;kg;13EUR50;2020/10/21;16:48:18.1603291698;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//3/2/92012423-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/mortier-prise-rapide.html
miramas;Miramas;92025294;MOUSSE EXPANSIVE 300ML ;6EUR95;-;-;6EUR95;2020/10/21;16:48:22.1603291702;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//4/9/92025294-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/mousse-expansive-300ml.html
miramas;Miramas;92025294;MOUSSE EXPANSIVE 300ML ;6EUR95;-;-;6EUR95;2020/10/21;16:48:26.1603291706;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//4/9/92025294-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/mousse-expansive-300ml.html
miramas;Miramas;92020900;RAGREAGE P3 AUTOLISSANT ;18EUR50; 0EUR74/kg;kg;18EUR50;2020/10/21;16:48:29.1603291709;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//0/0/92020900-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/ragreage-p3-autolissant.html
miramas;Miramas;92002340;SIKAFLEX 11 FC 300ML Beige;7EUR30; 24EUR33/L;L;7EUR30;2020/10/21;16:48:33.1603291713;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//0/4/G92002340-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/sikaflex-11-fc-300ml-8436.html
miramas;Miramas;92002344;SIKAFLEX 11 FC 300ML Gris;7EUR30; 24EUR33/L;L;7EUR30;2020/10/21;16:48:33.1603291713;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//0/4/G92002340-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/sikaflex-11-fc-300ml-8436.html
miramas;Miramas;92002345;SIKAFLEX 11 FC 300ML Noir;7EUR30; 24EUR33/L;L;7EUR30;2020/10/21;16:48:33.1603291713;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//0/4/G92002340-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/sikaflex-11-fc-300ml-8436.html
miramas;Miramas;92002346;SIKAFLEX 11 FC 300ML Marron;7EUR30; 24EUR33/L;L;7EUR30;2020/10/21;16:48:33.1603291713;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//0/4/G92002340-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/sikaflex-11-fc-300ml-8436.html
miramas;Miramas;92002347;SIKAFLEX 11 FC 300ML Blanc;7EUR30; 24EUR33/L;L;7EUR30;2020/10/21;16:48:33.1603291713;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//0/4/G92002340-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/sikaflex-11-fc-300ml-8436.html
miramas;Miramas;92009896;"MASTIC SANITAIRE 310ML ""GEBSICONE"" BLC Blanc";4EUR60;-;-;4EUR60;2020/10/21;16:48:37.1603291717;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//6/9/G92009896-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/mastic-sanitaire-310-ml-gebsicone.html
miramas;Miramas;92009897;"MASTIC SANITAIRE 310ML ""GEBSICONE"" BLC Translucide";4EUR60;-;-;4EUR60;2020/10/21;16:48:37.1603291717;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//6/9/G92009896-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/mastic-sanitaire-310-ml-gebsicone.html
miramas;Miramas;92009896;"MASTIC SANITAIRE 310ML ""GEBSICONE"" BLC Blanc";4EUR60;-;-;4EUR60;2020/10/21;16:48:41.1603291721;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//6/9/G92009896-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/mastic-sanitaire-310-ml-gebsicone.html
miramas;Miramas;92009897;"MASTIC SANITAIRE 310ML ""GEBSICONE"" BLC Translucide";4EUR60;-;-;4EUR60;2020/10/21;16:48:41.1603291721;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//6/9/G92009896-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/mastic-sanitaire-310-ml-gebsicone.html
miramas;Miramas;92013183;BLOCS MULTIPRISES 2 P+T Avec interrupteur à voyant;3EUR03;-;-;3EUR03;2020/10/21;16:48:44.1603291724;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//3/8/G92013183-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/blocs-multiprises-2-p-t-11744.html
miramas;Miramas;92013184;BLOCS MULTIPRISES 2 P+T Avec interrupteur à voyant;3EUR26;-;-;3EUR26;2020/10/21;16:48:44.1603291724;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//3/8/G92013183-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/blocs-multiprises-2-p-t-11744.html
miramas;Miramas;25023108;GAINE ICTA D25 MM 100 M + TIRE-FIL ;29EUR50;-;-;29EUR50;2020/10/21;16:48:48.1603291728;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//8/0/25023108-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/gaine-icta-d25-mm-100-m-tire-fil.html
miramas;Miramas;92025060;PEINTURE MONOCOUCHE MAT ;90EUR90;-;-;90EUR90;2020/10/21;16:48:51.1603291731;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//0/6/G92025060-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/peinture-monocouche-mat-20292.html
miramas;Miramas;92025062;PEINTURE MONOCOUCHE SATIN 5L;73EUR90;-;-;73EUR90;2020/10/21;16:48:55.1603291735;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//2/6/G92025062-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/peinture-monocouche-satin-20293.html
miramas;Miramas;92025061;PEINTURE MONOCOUCHE SATIN 10L+20%;99EUR90;-;-;99EUR90;2020/10/21;16:48:55.1603291735;https://www.bricocash.fr/fstrz/r/s/www.bricocash.fr/media/catalog/product/cache/35/image/328x/9df78eab33525d08d6e5fb8d27136e95//2/6/G92025062-0.jpg?frz-v=202;https://www.bricocash.fr/miramas/peinture-monocouche-satin-20293.html
